t (us),Omega_x (2pi MHz),Omega_y (2pi MHz),Omega_z (2pi MHz)
0.00015042641,20.215637,-77.40367,0.0
0.00017030285,44.986656,-66.152855,0.0
0.00020060678,54.89468,-58.194275,0.0
0.00016952453,76.44899,-23.570137,0.0
0.00017343766,79.977715,1.8883096,0.0
0.00016284345,71.69427,35.49553,0.0
0.00015652292,52.123966,60.688484,0.0
0.00015987303,63.88834,48.148518,0.0
0.000121594385,52.327614,60.51298,0.0
0.00024821388,33.407658,72.690636,0.0
0.0002116523,34.478477,72.18888,0.0
0.0002332457,25.448587,75.844376,0.0
0.00016588005,24.471056,76.1654,0.0
0.00017972964,24.094501,76.285355,0.0
0.0002635749,15.310021,78.521355,0.0
0.0003360214,18.817455,77.75541,0.0
0.00027926933,11.40133,79.183395,0.0
0.00025464257,17.266623,78.114426,0.0
0.00023813502,17.882381,77.97577,0.0
0.0002560541,6.097906,79.76726,0.0
0.0002708158,-5.1671405,79.832954,0.0
0.00015825855,4.602566,79.86749,0.0
0.00021329513,4.4544883,79.875885,0.0
0.00029786548,-59.275036,53.725883,0.0
0.00030062764,-60.8025,51.99092,0.0
0.00035404906,-63.67802,48.42633,0.0
0.00022578548,-57.504776,55.61655,0.0
0.0001867048,-53.97563,59.047703,0.0
0.00025526897,-61.15211,51.579254,0.0
0.00035412947,-36.519165,71.1783,0.0
0.00022014702,-4.3583393,79.881195,0.0
0.00033570107,44.149746,66.71432,0.0
0.00021299957,30.610744,73.91199,0.0
0.00021881546,48.347813,63.73766,0.0
0.00029505877,49.04434,63.203262,0.0
0.0003144106,53.921387,59.097248,0.0
0.00022775402,54.29153,58.75738,0.0
0.00015993621,58.660545,54.39614,0.0
0.00023188465,63.357082,48.845474,0.0
0.00020128272,61.489452,51.176624,0.0
0.00022727903,73.74672,31.006792,0.0
0.00021999334,71.56625,35.75291,0.0
0.00015199829,71.47937,35.9263,0.0
0.00012397373,68.920006,40.620594,0.0
0.00018097325,77.173164,21.0785,0.0
9.4068164e-05,69.389946,39.8125,0.0
0.00017620738,79.443146,-9.422656,0.0
0.00024752197,57.987156,-55.113426,0.0
8.909827e-05,28.281477,-74.834206,0.0
0.00023505038,44.474785,-66.49808,0.0
0.00019539466,18.6582,-77.79378,0.0
0.00023316318,11.740212,-79.13386,0.0
0.00023090905,35.69223,-71.59654,0.0
0.0002454161,43.022552,-67.446724,0.0
0.00017116766,42.824253,-67.5728,0.0
0.00024772232,56.143,-56.990906,0.0
0.00020669033,69.348335,-39.88494,0.0
0.00025032117,77.00961,-21.668411,0.0
0.00016476604,75.4582,-26.5718,0.0
0.00027242434,79.916885,-3.6458352,0.0
0.00027938446,77.75039,18.838192,0.0
0.00026471127,76.00884,24.953064,0.0
0.00020143323,67.016426,43.6898,0.0
0.0002984825,57.299156,55.82837,0.0
0.00035221802,45.1194,66.06239,0.0
0.0002394949,34.917065,71.97776,0.0
0.00034046936,18.361834,77.86426,0.0
0.00032044295,22.249401,76.843765,0.0
0.00023865319,31.86446,73.38022,0.0
0.00035389146,53.889194,59.126595,0.0
0.00032589637,71.31412,36.25323,0.0
0.00028935046,79.5836,8.151683,0.0
0.00038090764,78.83191,-13.620966,0.0
0.00039168115,76.919075,-21.98764,0.0
0.00047216346,77.34136,-20.45273,0.0
0.00040877613,77.55097,-19.642975,0.0
